Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,10942.0,11039.5,10815.5,10927.5,10927.5,882174620
2020-09-19,10927.5,11192.0,10892.0,11080.0,11080.0,949727352
2020-09-20,11080.0,11080.5,10763.5,10913.0,10913.0,950477420
2020-09-21,10913.0,10984.0,10280.0,10411.0,10411.0,1937060896
2020-09-22,10411.0,10570.0,10328.5,10523.0,10523.0,1054002000
2020-09-23,10523.0,10533.0,10130.0,10228.0,10228.0,1172400450
2020-09-24,10228.0,10813.5,10190.5,10739.5,10739.5,1491937080
2020-09-25,10739.5,10757.5,10551.0,10689.0,10689.0,1015842106
2020-09-26,10689.0,10829.5,10655.0,10729.5,10729.5,668587708
2020-09-27,10729.5,10795.0,10590.0,10775.0,10775.0,767602632
2020-09-28,10775.0,10946.0,10599.0,10688.0,10688.0,1100141402
2020-09-29,10688.0,10855.0,10600.0,10839.5,10839.5,967088415
2020-09-30,10839.5,10842.0,10650.0,10778.5,10778.5,905149206
2020-10-01,10778.5,10980.0,10450.0,10607.0,10607.0,1693116204
2020-10-02,10607.0,10655.0,10376.0,10563.5,10563.5,1165536603
2020-10-03,10563.5,10610.5,10493.0,10544.0,10544.0,472896875
2020-10-04,10544.0,10698.5,10522.0,10672.5,10672.5,496221891
2020-10-05,10672.5,10798.5,10621.5,10788.5,10788.5,660645024
2020-10-06,10788.5,10795.5,10505.0,10591.0,10591.0,967073304
2020-10-07,10591.0,10675.0,10552.0,10668.5,10668.5,585066308
2020-10-08,10668.5,10954.0,10525.5,10926.5,10926.5,1071262005
2020-10-09,10926.5,11102.5,10833.0,11056.5,11056.5,759471629
2020-10-10,11056.5,11490.0,11055.5,11297.0,11297.0,1032606981
2020-10-11,11297.0,11449.0,11279.0,11371.0,11371.0,765624818
2020-10-12,11371.0,11730.0,11190.0,11544.0,11544.0,1400865680
2020-10-13,11544.0,11560.0,11313.0,11424.0,11424.0,1081121228
2020-10-14,11424.0,11555.0,11289.0,11416.5,11416.5,963252867
2020-10-15,11416.5,11645.0,11271.5,11510.0,11510.0,1057990261
2020-10-16,11510.0,11549.0,11212.0,11320.0,11320.0,1084343083
2020-10-17,11320.0,11413.5,11221.5,11364.0,11364.0,525201699
2020-10-18,11364.0,11509.0,11347.0,11507.0,11507.0,515252202
2020-10-19,11507.0,11835.0,11417.0,11752.0,11752.0,1207957271
2020-10-20,11752.0,12059.0,11675.5,11914.5,11914.5,1654398028
2020-10-21,11914.5,13239.0,11895.0,12814.0,12814.0,3417940359
2020-10-22,12814.0,13219.0,12665.5,12990.5,12990.5,1976997877
2020-10-23,12990.5,13042.5,12727.5,12941.0,12941.0,1149209117
2020-10-24,12941.0,13186.0,12888.0,13129.5,13129.5,903314606
2020-10-25,13129.5,13377.0,12855.0,13038.0,13038.0,1196467410
2020-10-26,13038.0,13270.0,12776.0,13069.0,13069.0,1610805969
2020-10-27,13069.0,13801.5,13060.0,13642.5,13642.5,2128904272
2020-10-28,13642.5,13854.5,12905.5,13268.0,13268.0,2590188154
2020-10-29,13268.0,13638.0,12983.0,13461.5,13461.5,1960110483
2020-10-30,13461.5,13675.0,13119.5,13557.5,13557.5,1884089370
2020-10-31,13557.5,14135.0,13421.0,13802.5,13802.5,1772871976
2020-11-01,13802.5,13903.0,13622.5,13756.5,13756.5,922811251
2020-11-02,13756.5,13840.0,13212.5,13566.0,13566.0,1740227757
2020-11-03,13566.0,14077.0,13288.0,14034.0,14034.0,1673203841
2020-11-04,14034.0,14279.0,13533.5,14151.5,14151.5,2129841518
2020-11-05,14151.5,15791.5,14114.0,15605.0,15605.0,3180721468
2020-11-06,15605.0,15979.0,15200.5,15608.5,15608.5,2827497868
2020-11-07,15608.5,15780.0,14366.5,14838.0,14838.0,2592662622
2020-11-08,14838.0,15670.0,14738.0,15499.0,15499.0,1455313545
2020-11-09,15499.0,15875.5,14843.0,15342.5,15342.5,2377187415
2020-11-10,15342.5,15490.0,15079.5,15309.5,15309.5,1355001035
